"TABLE CP-5. Average Published Tuition and Fees at Public Institutions by State in Current Dollars and in 2025 Dollars, 2004-05 to 2025-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trends in College Pricing 2025
,Public Two-Year In-District Tuition and Fees,,,,,,,,,,,,,,,,,,,,,,,,,Public Four-Year In-State Tuition and Fees,,,,,,,,,,,,,,,,,,,,,,,,,research.collegeboard.org/trends
New Jersey,4776.1183106229564,4858.6632087817552,5091.7454996339857,5259.770761190568,5309.054395491763,5694.2171691670692,5791.3318527896845,5884.6633120067117,5834.0708567521115,5896.3150494717611,6039.5916233761845,6249.1150531067688,6333.7204712362854,6397.1880384613942,6457.5415554231658,6597.3761787434123,6714.859781524895,6514.0950857845901,6240.3194822225205,6199.637339492112,6211.5626823493139,6423.8826079315804,3.4181402722633925E-2,-4.3333320882425919E-2,NJ,New Jersey,13600.516773897418,14180.306161768536,14903.098261318921,15488.914547420942,16073.722997956469,16708.940364875325,17201.230176733054,17220.262623069993,17413.860054877638,17585.04266759165,17688.41533238631,18076.853347510401,18194.952083852597,18206.370885641667,18187.62667974543,18324.446456112673,17932.000763190332,17780.169809681443,17030.82644253366,17174.134269521761,17508.906911194888,17957.06697149005,2.5596118739349638E-2,1.3978478269516259E-3,New Jersey
New Mexico,1772.720572108449,1843.2254724865973,1760.0701193841444,1774.9979273814054,1713.8524893615663,1813.0243385223562,1956.5310313478665,2145.7334723176991,2234.0564602899312,2232.0041944578275,2250.0215858343836,2249.573648424946,2300.2667646666246,2311.9201124624337,2361.8117865718496,2346.3047184219813,2409.9281615644773,2327.9120068243292,2310.0991944380116,2249.9583191388197,2266.5246170175183,2250.2020837703658,-7.2015689238932312E-3,-6.6278356484460677E-2,NM,New Mexico,6663.0429965114681,7001.9486419057057,6478.0802216171414,6596.8426907403409,6759.6974274993709,7183.0583478211893,7572.1442481146105,7779.8942108383553,7962.9457511150213,8238.2679699150794,8371.6860086453016,8702.0725940772736,8902.5203846623062,9090.0495330909325,9139.1115467295695,9359.2049327625737,10084.674738397131,9476.7264918678684,9852.8556058602226,9626.2340120989666,9425.8772071706917,9267.4535577761399,-1.6807310970912259E-2,-8.1035948289878146E-2,New Mexico
New York,5577.2516460950437,5577.48816942948,5526.1729701171862,5508.2394124425582,5463.0917483750454,5809.7824622682456,5848.9203133350184,6087.928257349683,6244.9801743070075,6383.887716168003,6598.1568179777569,6932.1049494986046,6967.3755083811666,7027.7117054966029,7045.5958807314928,7027.6793615657689,7063.1850220752531,6828.1270082812371,6321.1239722402497,6273.0007454939505,6260.9738875687508,6230.1041174546644,-4.9305061270705774E-3,-0.11794691800043189,NY,New York,8434.0590296082755,8253.2975986296115,8051.2826423007909,7882.6679609693902,7658.4979040319204,8614.8673039058976,8554.1013317722191,8880.6740908999363,9202.6858081748451,9573.3874523044124,9919.9133678264898,10385.930571525263,10344.117414403754,10416.776415810853,10462.634577905321,10660.914438984404,10546.694399161428,10167.187699377881,9442.3025013652987,9144.8585106805986,8952.9667791916036,8740.0475569532882,-2.3781973896427333E-2,-0.17129981905532288,New York
North Carolina,2036.9241189130737,2052.6079724917831,2007.6298911668507,2082.477883305743,2018.9361785672902,2401.3567397647103,2622.489895602876,2963.0875835207721,3032.0339404562656,3114.5080385912879,3128.4267450299621,3161.3291318753691,3258.1661040457657,3205.1619740956471,3149.6036244454663,3096.938186099273,3056.6638804929439,2952.2118287760336,2747.2069763308341,2670.6398230521613,2597.3506183091613,2563.7978450024793,-1.2918076238980891E-2,-0.16124312477922198,NC,North Carolina,6078.3861155180093,6025.9294292831064,6495.6489796146234,6686.9125768191871,6566.776859325164,6812.3489011200118,7860.086550841278,8143.480803212402,8696.4118708461156,9006.4389718494585,9076.3070494495441,9467.9619845929774,9657.895135818324,9694.3013806663421,9268.2573012832145,9149.3397734948157,9037.4923517635816,8766.6707384473684,8133.2321062097044,7871.4513393212419,7678.0388784663792,7540.9270838964676,-1.7857658282305899E-2,-0.16559519052595084,North Carolina
North Dakota,5113.6170349282183,5341.7267717858458,5277.0160385165273,5365.369937972664,5738.2652719723646,5820.2883980047163,5729.3135106639411,5619.8463057500248,5566.2084688579644,5674.2214228553794,5701.7576608080735,5986.1275571812939,5942.7043014329483,6042.5184757540883,6178.0267029732704,6313.9499452388272,6588.0158305123023,6501.3530943740398,6175.7099896693144,5949.4091675409236,5896.4078413418001,6455.0461961863575,9.4742149775961293E-2,-2.0183563268032501E-2,ND,North Dakota,7851.1066876264576,8365.4079135930187,8803.5449165566279,9011.6473950956206,9133.0690685262525,9507.8718415058993,9699.9640339050075,9821.132323930442,9825.3606784628118,10053.463924731834,10219.707317015957,10443.734131246172,10584.449122095182,10758.310068788258,11116.028430692486,11676.801680652172,12005.622271961105,11988.996082501923,11414.407005380968,11019.877316383474,10767.016256533845,11080.402792426297,2.9106163529963647E-2,-7.7065516353587049E-2,North Dakota
Ohio,5455.5260861565193,5574.260908625879,5486.7067737337229,5458.5456821921607,5258.2071139574755,5245.4636284235385,5510.7726860303683,5658.4952742307305,5901.3870589454054,6045.0706524540528,6162.8749271711167,6159.1189543828923,5796.9366360524291,5766.6643714261845,6030.2781575547124,6175.4202404032603,6189.4727961824183,6038.1143355867225,5770.4896151573012,5936.8160875314952,5914.9096445284604,5937.2083809168671,3.7699200374148312E-3,-4.0757011715302216E-2,OH,Ohio,14038.772017457632,13750.341934080276,13486.902407509966,13140.885793089634,12672.937168280901,12764.711919811787,13372.335864065115,13524.276081692877,13698.847146335247,13740.977160602781,13719.052372943812,13863.006865713091,13827.925165286139,13740.161577475601,13854.975778466007,14275.505425772455,14555.175904344345,14320.894305541324,13872.363511798661,13806.154729710739,13812.180520397353,13840.198170385673,2.0284740665634793E-3,-4.9121888918241763E-2,Ohio
Oklahoma,3589.7591585196092,3688.0996260755978,3683.0505401994888,3860.5816688277982,4027.4037991716386,4058.29289020236,4181.8082119072888,4328.6844698390405,4435.8572403622429,4544.7979556600812,4755.6323250748874,4954.5619739984832,5311.9176944672454,5451.4025379085797,5621.6143377926001,5660.6567923505208,5670.0972194742699,5445.9968417705377,5140.2789016009338,4953.2159916110513,4898.8362535813076,4859.1369766505641,-8.1038179020009871E-3,-0.14302404552049253,OK,Oklahoma,6025.5454061570836,6261.6908269267415,7078.6123131674476,7753.7748481324206,8436.1622098504322,8136.0968039153086,8490.6063624530052,8690.2921350505349,8979.7008884095594,9098.860224193224,9631.8045666606613,10120.409433251585,10775.643564684797,11152.387360685263,11284.616065641665,11250.356145365409,11212.354561601926,10971.375067942619,10390.075986048325,10177.115533612996,10312.495410272084,10245.988060615338,-6.4492004127826297E-3,-8.618765092356484E-2,Oklahoma
Oregon,4880.0951903331634,4889.9881497274127,5048.6221845492564,5003.5374645869533,4989.0156234818369,5419.5619920564804,5529.9688395454787,5755.8334170710259,5921.0209512517822,6121.784923649956,6200.3928089774736,6327.091971754211,6420.0632294016141,6633.6344135995969,6828.3259532525153,7064.874166776438,7264.2485645743936,7169.6201266562839,6801.5744727993133,6796.1232013812378,6842.5930838109261,6887.7864809979701,6.6047179239647757E-3,-5.1823954016705698E-2,OR,Oregon,8899.3981797867436,8952.338386048501,8905.7631449056153,9233.7162521520877,9330.476161541721,10364.85602800943,10977.246556256634,11442.957556843019,11656.922346472007,11887.07658514256,12151.503599564505,12730.839290769643,13066.818867139222,13556.258841256998,13602.194560407117,14117.97781746179,14813.773716589098,14558.03078121965,14261.395600158929,14329.163246871412,14563.666105454151,14835.323848745787,1.8653115316197733E-2,1.4547361508943091E-3,Oregon
Pennsylvania,4888.7497825907058,5031.1718551100503,4966.5527415959814,5022.1726134308528,5002.4751980056189,5174.9237741929501,5123.8963613412052,5621.2777490270873,5890.1676919131896,6150.5708151411391,6389.8218551296759,6693.9260219914622,7011.036063080016,7001.4398860368028,7028.8855341716744,7125.6893104985902,6939.825557598153,6691.9756888536103,6399.1155622739534,6369.2487161403578,6292.7715117392772,6302.9184058166147,1.6124682198310758E-3,-9.1775671664284464E-2,PA,Pennsylvania,14060.742307040959,14249.550768069465,14455.893512292096,15206.281456621802,15482.997227190484,16155.127466767088,16731.662729209565,17298.992003308467,17357.763219716559,17694.608626784393,17864.775325405495,18194.14463285324,18707.494588293477,19060.20501808518,18995.501414946859,18894.640838497635,18697.121363581915,18195.434548431051,17429.004726570143,16984.029527529892,16743.309953859134,16953.654106190479,1.2562877526069105E-2,-9.3247897550012504E-2,Pennsylvania
Rhode Island,3937.485116894728,4072.2423229355059,4289.9712710216081,4419.6361341447764,4621.120586498464,5066.8627209035385,5392.6425105527605,5261.9854864842309,5539.5624721564518,5459.5925695827482,5372.4414800971899,5795.3578466138351,5723.1605622181032,5989.9748368344881,5852.2883937208708,5919.4188725783897,6027.0900672460939,5917.619471198218,5600.1638934359762,5628.1374448809338,5696.8213010694981,5868.0007886435333,3.0048245947595031E-2,-2.639570287278814E-2,RI,Rhode Island,10113.029956076372,10615.857618373167,10839.92368444663,11213.700816816385,11555.792482807001,12761.710223887081,13760.688815947749,14334.472976510633,15315.83841985332,15059.623741122497,14905.0628919791,15481.076503534026,15325.262764700299,16078.353509397835,16112.400554505815,16522.198970437352,17095.525744125032,16754.225564355122,16169.495621316155,16063.842762331751,16032.283282316614,16123.780844345691,5.7070824172622547E-3,-5.684205998246572E-2,Rhode Island
South Carolina,4820.4363249256676,4848.7711221673371,4991.1244311029504,5023.7255425011772,5003.9707062860389,5224.4517569505979,5383.7827473919406,5320.6746608438207,5957.4838941064836,6207.6890109588512,6314.0877798580195,6482.3911302303841,6687.0375292819626,7119.6630736059042,7212.6054120034987,7381.3944521417452,7328.7673798866444,7023.2509401325342,6543.9257537815374,6350.9710376090234,6261.497462675361,6284.2151758952514,3.6281597741292249E-3,-0.14252767891884566,SC,South Carolina,11268.70740597015,12175.509941246441,12638.325639461646,12999.569247690064,13656.981616797402,14288.072601600024,14859.299447889494,14824.026577266239,15067.609924265549,15432.827149478449,15573.80904285406,16052.062191929967,16376.336018354958,16551.246259674244,16626.437426164037,16451.46100230813,16302.152962705144,15588.615262691836,14445.952977012865,13881.927697894565,13538.220956985104,13265.996162244424,-2.0107870569228914E-2,-0.18624268876673,South Carolina
South Dakota,5173.2759003357141,5269.1848032801117,5508.6042121197042,5584.3329368884806,5890.8071165752262,6474.6581095905995,6770.3356820603531,7075.624118523273,7668.4373665193616,7658.5571994815509,7758.9909439047942,8338.4431363945478,8441.3723444128609,8617.1567828145271,8566.8597143555417,8804.0326065866266,8785.6379164024293,8599.8322392492519,8021.6806223754666,7667.1617452346791,7429.4436011286571,7650.2737752161383,2.9723649029913091E-2,-0.12922956215468573,SD,South Dakota,7411.3356226226315,7572.3923033371575,7936.287135408179,8297.3000227461489,8521.4061818343853,9051.6140609506037,9329.3306083440148,9723.7941810901466,10361.085454251106,10565.074138682754,10473.176450899482,10942.592574161496,10947.975131709974,11086.707812035762,11135.221314824585,11316.004449825439,11356.940890144391,11045.059464958485,10038.575586572862,9713.7424890456441,9397.4071515721062,9385.2823006978233,-1.2902336441019679E-3,-0.1736082461393792,South Dakota
Tennessee,3744.8722085790987,3940.3478347432629,3976.9279467028305,4087.3093130952393,4153.026494726937,4459.0192961505963,4719.3005103304004,5084.4865201283974,5131.4579963596098,5201.1025659391098,5367.9594340552858,5649.4109373207266,5717.9586745705174,5674.7130033168833,5866.9516700013073,5844.9902867079854,5684.2116425490931,5510.1226500604807,5104.2829182456653,5036.976308716884,5132.7767920401739,5164.0544454097881,6.0937100202991257E-3,-9.150911856372046E-2,TN,Tennessee,7339.7449841336365,7852.6680907456739,7942.6757746799904,8331.4644622932974,8503.4600824693425,9152.1708744282514,9630.5625558119136,10263.448296542963,10764.982667410868,11107.160984599232,12139.634130298846,12584.434420675259,12794.713005480548,12873.191535302189,12793.663832317878,12959.347844783519,13000.790296852334,12559.814933656529,11692.422824334672,11539.722432210034,11664.676722799812,11741.753440234157,6.6077028336062327E-3,-9.6843101678442345E-2,Tennessee
Texas,2355.6729140902657,2421.912539430064,2571.4273069042397,2560.7800369658244,2485.5347620583971,2620.4805422682398,2743.5733254674233,2920.1442852088767,3009.5952063918344,3046.3980323229689,3114.7241772951311,3156.575164975437,3269.3454290208565,3362.7928908544491,3355.7444909697256,3480.1937026275978,3562.2632956226403,3432.9943208815771,3345.9943063556075,3349.4620473473306,3323.4680347649937,3312.1905821657988,-3.3932784913913716E-3,-7.0200513747575743E-2,TX,Texas,8650.5354840869022,8878.1477364403636,9559.00151044837,10016.392503595856,10347.421792227467,10998.213868122371,11435.00098623236,11527.412710189747,11701.79981460087,11776.862708531125,12019.386307303084,12526.688944269707,12793.510360126085,12978.278813141391,13032.174264064999,13211.364095023728,13470.26748406679,13183.886168820543,12252.190372188665,11833.084806157289,11550.295705691526,11258.086934849191,-2.5298812973103879E-2,-0.16422692064832867,Texas
Utah,3438.0551864834056,3552.9077756785487,3711.7994169226417,3795.3586478741508,3821.0236564736492,4067.2979779764778,4233.4901636787417,4318.6643668995985,4416.2233480558652,4578.0293042420299,4714.7764893207514,4843.301786058144,4911.587703698533,4925.9661487125722,4889.1418174497385,4913.1409221455979,4904.0872085746159,4822.4837035355513,4652.7582009779298,4467.4660631962761,4511.8955364239609,4506.4153182308519,-1.2146154867433978E-3,-8.1089889602380949E-2,UT,Utah,5580.6607241183292,5907.2243899100877,6094.7618653084346,6303.3390964489272,6393.2978987964188,6863.3777318400125,7259.0992830989517,7586.649368434827,7870.3859730992426,8174.0328113220121,8379.3914698343178,8643.6991887695731,8800.5364536927154,8906.14679687233,8960.2402232947607,9012.842098191566,8984.0406427865273,8778.0332546116879,8493.5956741252976,8186.3692990941518,8218.3373625162621,8173.0784377316531,-5.5070658197891031E-3,-9.0266978668001929E-2,Utah
Vermont,8045.4241349537306,8226.9187009911639,8353.1458478938966,8541.1098867871642,8718.813274849852,9110.1471314823684,9228.9199591880497,9333.0101664519007,9522.4377685929903,9799.6231185675151,9956.0181352687159,10229.499433896432,10383.791411820017,10482.455964460354,10405.635476565485,10333.794010533124,10699.281738311342,10219.182219338289,9527.9802194804633,9151.2725585393437,8889.0941382453802,8900,1.2268811180318195E-3,-0.16816846049287426,VT,Vermont,14970.96613925818,15247.002835023302,15625.014499033652,16282.461302356985,16960.559408245656,18034.189115632973,18419.447611345877,18744.749713142275,18967.742388839499,19301.414290998608,19689.623217842262,20368.017329794555,20877.830732784096,21056.86329703001,21796.162341206589,21644.828187943953,22048.158642425991,21087.909073778712,19553.551819065462,18213.804994184633,18114.643191141426,18094.253600281001,-1.1255861153476321E-3,-0.17933039698547526,Vermont
Virginia,3547.1456832285407,3612.260295365058,3788.4630881843832,3977.0513491021688,4277.1536820018146,4633.1176597835374,5293.708488590265,5701.4385725426255,5878.9483248809738,5984.248445252013,6202.0838959040939,6523.4071789436921,6671.2922127076536,6738.7216914387991,6736.9340427689503,6614.4857365479584,6489.0696494339836,6214.0832890922411,5780.506111060452,5669.3818174266353,5675.2199172174951,5690.7871419278144,2.7430169997626486E-3,-0.12301956222272947,VA,Virginia,9509.6231459548435,9930.0062797735027,10470.9797664995,10882.926924837173,11337.44827386565,11910.729429232963,13007.608947278004,13648.811646797372,13885.369123245831,14327.629512986017,15210.723730870428,16054.766913671598,16572.180729460539,16840.236273732047,17298.843692173457,17179.010887609675,17253.183629254792,16779.443125472597,16085.298041481015,16080.633853814856,16068.381703176419,16094.556614440315,1.6289699701819149E-3,-6.7154389573057638E-2,Virginia
Washington,4230.6658268972797,4340.9773426272013,4373.0235815551605,4470.8827934654992,4429.6955266046762,4732.1736252988321,4961.4673700594949,5459.5246587189486,5950.4717897113487,5951.2498805432942,5842.096114841177,5667.5417411941626,5639.9950467742328,5661.5770935869832,5748.4243797218815,5823.295174999962,5868.4895659153317,5693.6252537676464,5426.6401143129133,5422.3824858605576,5412.7051966959225,5435.4197467976983,4.196524524491263E-3,-7.3795789232196762E-2,WA,Washington,8376.1047032124225,8658.8731498207599,9055.8961677931929,9295.8334149650855,9620.6047679432431,10987.707932385902,12103.913104874311,13590.122472437783,14858.649213290535,14942.697536647871,14533.13771837135,13974.434247440531,12436.532643693021,12465.978333675283,12623.3055281531,12738.621666050511,13265.57154741494,12954.288781340563,12307.960328545869,12168.420515269325,12181.508069249297,12260.565123598684,6.4899234068527267E-3,-7.5760506829583352E-2,Washington
West Virginia,3547.3056093310011,3465.3706600033397,3524.9317182221475,3641.6186699119821,3707.3650271617125,3950.231836912948,3727.0070363185018,3874.9169510100141,4099.2762293957749,4531.0213653778783,5075.0239842175124,5202.1120058120096,5370.660890352121,5490.8102670982807,5512.4863726130643,5450.0114627864414,5445.3371630560632,5243.6180498028443,4978.8615808888071,5271.1557510019911,5279.667738671882,5396.057249712313,2.2044855244945705E-2,-9.0499287496998981E-3,WV,West Virginia,6189.1811512747872,6382.0445474021635,6653.7678015919646,6842.2054838516815,7039.3574759379517,7474.2228525176606,7716.853713074679,7924.4699818217359,8253.2468730736,8642.6474850957238,9094.5461927584984,9703.8509123308449,10050.532382681971,10390.504596351053,10636.297562419184,10679.272597417646,10643.690889053716,10377.671452541766,9851.2686791319084,9748.7975188056425,9835.9733578104115,9997.4543284939064,1.6417385937230966E-2,-6.0715457381839033E-2,West Virginia
Wisconsin,4953.3903678338011,5163.6692127263177,5023.0676274620091,5078.0780599625505,5117.6293355979751,5263.473803971774,5349.8203219421284,5480.996307874897,5651.7561424786081,5775.6137153714853,5864.4367161034543,6067.6964896172085,5814.5099712288056,5858.6157395354858,5834.3365888321568,5600.9732585223401,5675.6526538939561,5538.8186390620494,5205.2568179653526,5133.1404194987153,5125.1338758836791,5114.0983321751219,-2.1532205744878574E-3,-9.8940924676488518E-2,WI,Wisconsin,8894.2845627518145,9275.4798821194963,9650.0396200716878,9958.9341279938344,10163.474273735781,10759.579042108255,11386.272288847847,11733.540542086845,12187.037438744195,12082.226554968685,11928.494726883235,11967.177100950652,11984.743667101719,11717.231479070972,11558.802926167431,11439.255912619044,11316.002615070334,10887.333342762029,10214.149086570336,10242.377084550679,10401.53031392541,10602.47295765015,1.9318565409141897E-2,-6.3054921573624023E-2,Wisconsin
Wyoming,2873.8527736296587,2918.1655512533785,2922.8024668538874,2984.7296731645329,3017.9357098879937,3247.8349905317705,3282.5422510840053,3330.9685057260081,3421.9069448257578,3600.9255652690413,3680.8234415371876,3777.6510447817782,4023.9661549238908,4203.4911135680613,4162.3886790214201,5257.5084150258781,5370.6883707932602,5414.5486698515579,5076.2537462963764,4881.4781731225012,4761.7200405118192,4693.5480929949854,-1.4316664343312913E-2,-0.12608072393115966,WY,Wyoming,5527.8200147574044,5653.3275001400198,5614.0167601045987,5519.1099159348332,5415.2354834015978,5592.1595077270686,5798.7149887570349,5904.7035178855967,5999.556520477292,6087.100171251247,6319.0789411608475,6644.4198846198469,6781.6622205103595,6856.9448790079005,6924.2675999326684,7028.9954952530461,7205.8424798947663,7245.2804650224534,7086.0453753149977,7077.9709908181412,7141.2691708969287,7434.5394832871116,4.1066973582981392E-2,3.173771894548616E-2,Wyoming
,Public Two-Year In-District Tuition and Fees,,,,,,,,,,,,,,,,,,,,,,,,,Public Four-Year In-State Tuition and Fees,,,,,,,,,,,,,,,,,,,,,,,,,
In Current Dollars,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26,1-Year % Change,5-Year % Change,,In Current Dollars,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26,1-Year % Change,5-Year % Change,
Alabama,2728,2730,2786,2809,2835,2839,3417,4010,4088,4151.1547388781428,4256.5137781745543,4314.229968346338,4394.7474693801641,4480,4760.45508625818,4846.0696128275322,4929.24650811627,4929.24650811627,4979.5283663704713,5072.1396396396394,5151.9768073926443,5618.050371444102,9.0464996539324938E-2,0.13973816529436678,,Alabama,4510,4782,4906,5244,5968,6487,7373,8001,8734,9160.5769932928524,9480.0088760065282,9745.6880796007772,10082.636595262811,10650,10776.72280958022,10922.474911046238,10996.146682936229,11337.743240639649,11683.454308579936,11888.408947348864,12195.109535496773,12536.760294518681,2.8015390761965131E-2,0.14010486182156612,Alabama
Alaska,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Alaska,3435,3793,4194,4425,4678,4922,5261,5455,5785,5885.0178090522095,6138.3991404781091,6703.4246575342468,7127.5468736373941,7440,7820.5477647058824,8233.1666329216441,8610.372354324536,8815.4794878494904,9023.64998545243,9080.5281217365355,9422.7123248498701,9681.7886760080073,2.7494880691082191E-2,0.12443321584639189,Alaska
Arizona,1393,1522,1660,1686,1821,1918,1979,2151,2204,2333.702542548061,2430.3546511462682,2474.5744263791489,2558.5072415192199,2600,2582.3306202212229,2603.1744373158344,2258.9627885476862,2590.7221532905778,2608.3280434962599,2869.7412113394989,2898.7758822763381,2916.0515692147414,5.9596490518740719E-3,0.2908807457999365,,Arizona,4078,4434,4674,4959,5584,6554,8075,9435,9728,10077.983471174748,10396.215043009101,10633.738493923798,10930.611573622486,11210,11544.774711801972,11878.855991319175,11810.53213726648,11820.299391655653,12183.645816049999,12585.416572077187,12865.147848047985,13153.188466799958,2.2389219475287714E-2,0.11368296651908794,Arizona
Arkansas,1874,1980,2095,2138,2296,2378,2525,2663,2794,3006.0742683067906,3176.6291530877952,3402.6409433702675,3532.5244698205543,3610,3670.2138207310963,3752.3602786327556,3886.5421362213219,3887.0217143163604,4118.1217501585288,4355.5672630881372,4550.6878616474869,4838.9291983616149,6.3340168668429842E-2,0.24504740428885419,,Arkansas,4581,4980,5314,5599,5914,5980,6304,6654,6995,7251.4804387923505,7593.5336693264881,7882.4142677741484,8253.9172655508919,8550,8701.2231474581222,9035.8056728037191,9077.8361326025279,9250.0784265346047,9477.9869606622233,9739.6718988445609,10104.561227775193,10504.724001001681,3.9602191941450204E-2,0.15718369967866752,Arkansas
California,808,810,724,633,634,817,819,1119,1419,1424.9106914050344,1428.0738359652605,1422.4336454253585,1425.9610405217904,1420,1428.0470079210374,1427.8964778002994,1428.1477161247944,1428.1477161247944,1433.1476037063771,1435.4544127882175,1435.422838378262,1435.6327737648153,1.4625334148266056E-4,5.2410948499999055E-3,,California,4195,4526,4549,4951,5436,6550,7485,8933,8986,9077.6372918879933,9171.2726232266032,9267.3668609970591,9302.4203250135233,9800,9874.9197841745099,9854.0808278600471,9923.5084537589355,9943.2699823041185,10352.71942227185,10737.130509292825,11336.826998423976,11948.69207674089,5.3971457657594479E-2,0.2040793971626873,California
Colorado,2218,2388,2376,2459,2550,2768,3122,3394,3577,3744.8684059815459,3900.0608476710026,4076.8510805707092,4265.2797500710021,4320,4509.6590502113031,4700,4782.9283839520058,4798.0164979377578,4870.4988123515441,5116.4077120598868,5338.6660583184703,5531.8138454519067,3.6179035179112251E-2,0.15657467588530283,,Colorado,3733,4427,4772,5435,5792,6270,7078,7872,8441,9096,9282.8578107650046,9748.1881830401489,10286.608079621912,10810,11157.444649780773,11408.245799259166,11482.673362211062,11768.744968758385,12184.772916564598,12766.9531903308,13201.270558069669,13710.861932051934,3.8601691537240912E-2,0.19404789281681878,Colorado
Connecticut,2406,2536,2672,2828,2984,3200,3408,3490,3598,3785.9999999999991,3866.000740553488,4048.190881649874,4187.4187050359715,4310,4404.5723258821363,4509.2057039618012,4514.5620949450231,4514.5620949450231,4740,4972.0003268507926,5217.9995019506932,5217.9995019506932,0,0.1558152024962316,,Connecticut,6336,6754,7135,7574,8038,8456,8977,9217,9635,10231.568671685343,10645.943105855498,11173.927647557777,11780.552284361556,12180,12743.619593024619,13644.095798279945,14221.287448989748,14913.569457221711,15779.904759327903,16522.702348801049,17195.280338765006,17355.365566037734,9.3098352640306192E-3,0.22037935231177852,Connecticut
Delaware,2508.7095576903926,2679.4205630953597,2857.5537861266303,2996.1018484842848,3254.6424291338367,3417.9312169125014,3573.7977870648633,3817.4939324618094,3850.8939117801729,4050.0567514193017,4293.7537215864595,4413.7454761282988,4532.5009604302732,4720,4854.9999999999991,4945.0010801468998,4945.4376596238681,4944.9988390991412,4945,4945,4945.0012565971347,4945.0012565971347,0,-8.8243560382172959E-5,,Delaware,6629,7050,7403,7808,8291,9012,9623,10438,10908,11258.740854595757,11495.167471258646,11675.707957995322,11929.302193645992,12180,12726.463291371867,13274.73789316026,13592.907241395329,13900.7431836128,14190.184640823076,15024.489241223102,15675.893782967405,16469.189847166494,5.0606113768201233E-2,0.21160172394996124,Delaware
District of Columbia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,District of Columbia,2520,2520,3210,3770,3770,5370,7000,7000,7244,7255,7338.0010576414597,7421,7844.0010325245221,8060,8252,8443.9989177489188,8635.9975216852527,8635.9975216852527,8635.9984984984985,8635.9967845659176,8635.9967845659176,8635.9967845659176,0,-8.53542782008887E-8,District of Columbia
Florida,1780,1919,2031,2031,2292,2553,2773,2985,3091,3141.3231719045712,3175.7342944929183,3234.3616706501152,3233.502648936369,3240,3246.2715973568229,3237.8515766114465,3235.0344092681007,3242.1787683912194,3242.4281420975572,3238.0443786982246,3232.311614566735,3231.6192021322827,-2.1421586685266281E-4,-1.0556942226128685E-3,,Florida,3054,3213,3315,3386,3825,4316,5034,5624,6235,6314.9287417447485,6334.2587666327063,6360.1600125117193,6354.6358779873153,6360,6353.3548128035491,6364.659914412071,6365.4775453850034,6365.5055320260471,6364.2951657805743,6362.2407896855848,6358.7025116748709,6358.5622729886263,-2.2054607207500077E-5,-1.0863713440306677E-3,Florida
Georgia,2075,2208,2236,2120,2104,2596,2800,3125,3315,3426.8584514260601,3599.4128782031034,3678.4524705949866,3769.7578381845883,3790,3801.7239167799698,4060.6403108206982,4011.5002103827255,4025.8496649895374,3989.8054824420619,4012.3148594377512,4226.4130500210676,4238.4397760789743,2.8456106669096926E-3,5.6572243249264798E-2,,Georgia,3411,3678,3909,4181,4453,5008,5872,7298,7539,7823,8049.3649048439947,8446.9623601302283,8415.3761308436206,8580,8543.7297825102705,8789.6249399028711,8864.8619747528483,8885.222235886029,8291.0287218843587,8344.6653530232252,8528.8922123241646,8537.4970197455405,1.008900946003477E-3,-3.6928375866386198E-2,Georgia
Hawaii,1458,1525,1732,1946,2192,2443,2710,2965,3097,3252.1779598525195,3492.2277428454918,3663.8079434260908,3844.1638854733883,3850,3920.4003994008986,4018.2607285698841,4017.1414439481518,4017.1414439481518,4018.6774835450792,4018.1242769790115,4017.4686431014825,4017.4686431014825,0,8.1450742498434536E-5,,Hawaii,3386,3491,4227,5017,5823,6638,7458,8368,8613,9073.1314373558798,9696.3372063685401,10174.734509840664,10650.808494058054,10610,10801.173821060533,10981.488796567459,10999.251322206195,10999.251322206195,11102.470627727425,11184.784508841525,11237.460855949897,11456.589248434237,1.9499813640580399E-2,4.1579005045982553E-2,Hawaii
