"TABLE CP-6. Published Tuition and Fees in Current Dollars and in 2025 Dollars, 2007-08 to 2025-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In 2025 Dollars,STATE,In-State Tuition and Fees,,,,,,,,,,,,,,,,,,,Percentage Change,,Out-of-State Tuition and Fees,,,,,,,,,,,,,,,,,,,Percentage Change,,In 2025 Dollars
,,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26,1-Year,5-Year,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26,1-Year,5-Year,
University of Oklahoma,OK,10104.909460604378,11101.157965559256,11230.845302287078,11612.196249448771,11916.76528155093,12209.476172808625,12322.093103248153,12914.261228739953,13707.257541569057,14597.678856849301,15156.212646358843,15083.362921853331,14811.141689685503,14543.558548937161,14271.206797006145,13339.722421604027,13201.60888528593,13866.884210233942,13803,-4.6069621167525998E-3,-5.0920037654146211E-2,24258.30500754587,26027.82611243342,26571.012325496518,27014.894504535256,27595.363495223886,28529.447942045241,29169.428250246663,30288.328941844131,31892.128646766618,33811.717694069754,35360.555401918326,34805.985135661555,34186.533165376131,33677.855425126509,33057.866202557118,31567.76079183989,31239.971769150434,31911.950601729757,31863,-1.5339269711424075E-3,-5.3888687454025752E-2,University of Oklahoma
University of Oregon,OR,9578.4665057642233,9623.595784504083,11148.298664357666,12093.576714520019,12580.954962108244,13056.538383740903,13494.177786540853,13489.588506228842,13977.598894470171,14438.031417830363,15199.561148467514,15256.469611851649,16020.214480680237,17243.261034069208,17134.954372425364,16562.842289152297,16555.666518173213,16563.892853217745,16755,1.1537574438313936E-2,-2.8316049563043899E-2,30021.224787521722,29898.201542160936,35615.12214663536,38141.280407332371,39583.700940627976,40193.382392912383,41172.238851324284,42011.13226259291,43504.580328167242,44864.955089675059,45464.697166157559,45492.438131557639,46114.79191903356,48905.670364304511,48077.6875109799,45879.535236990225,45756.415629143361,45777.808357675218,46077,6.5357353936019713E-3,-5.7839312767484552E-2,University of Oregon
Penn State University Park,PA,21180.399590161844,20497.436491439465,21636.224225280039,22518.564700418839,22880.189340577788,23061.408934719166,23485.923276544319,23804.676148015446,23792.75605381967,24014.194608731046,24217.363178043994,23663.043386881018,23236.867701930059,22953.691636260959,22458.435342499262,21219.009989942289,20787.971567157732,20596.831752659557,21084,2.3652581775230441E-2,-8.145494266845188E-2,36823.054115544954,37297.976513680158,38980.023278230656,40037.269723747959,40174.887014055064,40313.990588508699,40865.395927160389,41418.123532131547,42583.517829338321,43442.885464800485,44220.726514736009,44697.429629343147,44728.136561861473,44178.080759004151,43348.34504203032,41920.912508388523,41873.940693381061,42302.234136878586,43476,2.7747136459115307E-2,-1.5892061106820621E-2,Penn State University Park
University of Rhode Island,RI,12709.1715115393,12978.020857486625,14300.079385298848,15469.14647879264,16269.784287100045,17460.139943885526,17208.082909191195,17009.557759517837,17473.017492533323,17284.853817815128,18117.046699478346,18128.758394045941,18345.160701697194,18661.537915659315,18216.286444471625,17471.631164590042,17338.808330313343,17390.188555444944,17476,4.9344746482458124E-3,-6.3528414486380802E-2,35776.379922145941,37052.713155691243,39319.21491772242,40137.680372903931,39298.8437284924,39290.223346819032,38723.024159349436,38181.057526402103,39195.420672879132,38736.639951536323,39462.900010566162,39573.471605392973,39906.958807769966,40532.860352812029,39629.038024992085,37806.057309675249,37835.122712002616,38128.670999914881,38398,7.0636870633575821E-3,-5.2669866726144376E-2,University of Rhode Island
University of South Carolina,SC,12960.746020931942,13217.302182353858,13741.763943303553,14450.273715298279,14554.915241178362,14708.59017923465,14949.60841331823,15176.127097449225,15598.288512616047,15903.031446474737,16107.252510803615,16177.140748287142,15982.43095596165,15787.661076647781,15079.235158535219,13959.701273067913,13407.77670008628,13023.652012246808,12688,-2.5772495451443111E-2,-0.19633440707899563,33592.961649269077,34259.103687866285,35618.12384256006,37450.218880788365,37721.393237168784,38768.522779821003,39430.69793039409,40041.690423812979,41159.810604009843,41967.152835213659,42510.431067903002,42697.085656029267,42730.647555072253,42212.398765221369,40318.238686296296,37328.558070038467,36915.768540417252,36923.613665238197,37376,1.2251951796031779E-2,-0.11457294318005118,University of South Carolina
University of South Dakota,SD,8374.9464762623957,8715.8222582890121,9707.4846204988407,9984.9530822447341,10319.274584348428,10804.250452023622,11087.81052992223,10910.816595782191,11488.828248666949,11345.700771287064,11522.82001506845,11618.664578331467,11750.67618748008,11607.476583540094,11205.452131204658,10377.356747129299,9967.0672947047442,9681.5168489527041,9687,5.6635247687331081E-4,-0.1654516870844619,10297.472665324671,10689.893188443695,11844.692118889432,12195.463990869455,12774.199804511773,13533.361482610066,13965.499575459264,13742.5692949119,15401.306119798652,15680.329976918909,15789.363495340031,15932.226838733966,16129.786702364134,15936.953379973056,15376.304409097378,14239.159353408331,13676.185849031892,13284.371401520981,13299,1.1011886100493751E-3,-0.16552432055727806,University of South Dakota
University of Tennessee: Knoxville,TN,9211.9752451675377,9346.9267526263429,10288.31278192943,10900.461942196189,12018.397754222417,12750.810632113029,15472.070689597287,16152.687346236513,16894.296807428425,17070.201798966136,17037.274919680549,16677.22674161561,16700.317925614774,16496.799517442836,15737.540617780964,14571.428409561115,14248.932930640243,14177.386632499443,13812,-2.5772495451443223E-2,-0.16274669002336317,27757.054202987958,28277.070566185423,30986.507030738878,33105.981677599368,36126.765426520404,38260.846421613249,40613.840016359361,40893.120390025848,41605.398361555395,41473.453191860979,40931.494718369002,40001.750379166588,39614.766216612908,39413.168077872477,37625.602999200877,34837.640377555355,33787.850899161313,34135.763817723826,33256,-2.5772495451443223E-2,-0.15622109000999751,University of Tennessee: Knoxville
University of Texas at Austin,TX,11910.965969392282,12759.676648545274,13402.572303811789,13903.921653714347,14016.692569002609,13729.700405673839,13531.496520560786,13326.375094175257,13354.047733758556,13563.324441020719,13679.736392718061,13620.290823423114,13627.257915169825,13461.189349828919,12904.688244420211,11946.282820221579,11473.96275295845,11145.240664326597,10858,-2.5772495451443223E-2,-0.19338479551675003,38115.091102055303,41515.309864465162,45034.443958362433,46168.225831035765,46348.70186802854,46364.034260630964,46750.698499637183,47225.800777704964,47324.680249563891,48170.596179949549,48581.848545062872,48372.420544418521,48146.286098069504,47686.449887148105,45926.906136909864,42523.837815579667,42884.173553192108,43679.735792020074,42554,-2.5772495451443111E-2,-0.10762910426954098,University of Texas at Austin
University of Utah,UT,7744.4572737104709,7903.7612620208356,8623.8723916800154,9264.3590118313314,9680.8508827782516,10011.882655373396,10306.881466171786,10792.486872043342,11135.618440856448,11427.536853473242,11591.126745663931,11825.110334551682,11964.782827552064,11818.9740132509,11668.880162081627,11318.052253787013,10870.147840724112,10905.769079303334,10848.8,-5.2237562421387773E-3,-8.208614488560384E-2,24321.975099429194,24826.932963255986,27304.926979087108,29297.760145640012,30617.140253104248,31753.6135429282,32807.31372952307,34365.944019649542,35350.867764787909,36274.84961036194,36868.55783891087,37461.56998741351,37949.772227347239,37484.809159921009,37300.015100584751,36357.056160823544,34919.77666288014,35083.96299546933,35198.880000000005,3.2754852849865568E-3,-6.098281440272435E-2,University of Utah
University of Virginia,VA,13199.897097761981,14214.806205394143,14516.201491877673,15693.593812200093,16570.387375283313,16837.465073597559,17219.140311863768,17678.732748937538,19654.767305393569,21081.511401206684,21117.288481787549,21183.129768682909,20957.261710575403,21522.973729393743,20687.90260914879,20063.769894046851,19883.411600632364,19935.795190877801,20046,5.5279866224060559E-3,-6.862312559424133E-2,42728.843369990696,44563.155739961563,47015.563268668317,48583.987919552834,51385.950760013853,52360.7859393502,55071.39401074811,57374.954783903762,58526.865154200015,60448.691658111922,60322.724661647662,60987.410294073634,62934.757672923857,64481.834011241488,61719.10749679427,59839.23651005813,59629.100223239962,59680.105240861754,59906,3.7850931768059759E-3,-7.0963149256017655E-2,University of Virginia
University of Vermont,VT,18719.007013696813,19208.308353717239,20342.4932817318,20770.238103350257,21162.457408101978,21434.600715047902,21725.031900937123,22028.370180165592,22738.560627431405,23209.249538047323,23303.103860842941,23434.79901043879,23680.194391961464,23712.594178164436,22577.263042724127,20783.319439490293,19961.609541663762,19562.165829870719,19514,-2.4621931073282033E-3,-0.17706178187921251,43385.732366738142,44389.676779432819,47207.671807849496,48182.345322928966,49276.003369622733,49943.012343907736,50651.197292387187,51472.069714632416,53158.0760754804,54151.338055129607,54324.868278975235,54517.066903469888,55025.406498499964,54678.306092881794,52153.47762869273,48289.036008429277,46379.832863082192,46705.723034462033,47554,1.8162163230233341E-2,-0.13029493051192487,University of Vermont
University of Washington,WA,9915.4521140247361,10329.475692862425,11952.753172178845,13249.775807007098,15496.804917485932,17366.17774499072,17134.8276164854,16857.225241601158,16083.272748725081,14425.957241770107,14415.347337592471,14370.41981341582,14439.603696619411,14618.204700599797,14354.386187163549,13468.999289478041,13360.223898107726,13316.191484463892,13406,6.7443094101558021E-3,-8.2924321106959131E-2,34367.873255361228,34881.235132521091,36979.392944414183,37803.132780027721,40524.159173658481,43497.485983899875,44189.527605602547,45581.42565126509,46383.24026182283,46674.739923595633,46682.395998119304,46915.759804877132,48068.200146984425,48656.849858762391,47424.135159743149,44823.315720742961,44379.444993184385,44352.063350975121,44640,6.4920688524978676E-3,-8.2554663329463707E-2,University of Washington
University of Wisconsin-Madison,WI,11162.454157495662,11318.006666220186,12472.046567152964,13264.542078941799,13843.487932477965,14562.738407815848,14378.770000346667,14158.763495648544,14148.769801332182,14070.439835551464,13836.053718503872,13534.378614312838,13507.610086894303,13361.661147612071,12797.743314217832,11878.068643130609,11840.647692659739,11909.949109244933,12166.46,2.1537530379198033E-2,-8.9450041758144083E-2,33291.693409626045,32628.999662208247,34662.083690541236,35783.106779360642,36388.719546222965,37352.077692003782,36839.119179009875,36260.57971123825,40299.880571917354,43920.486206739493,45690.634813511839,47194.012780652207,47588.34938305839,48059.680645461289,45931.659244918861,43378.715486542293,42906.364860782094,43216.804907915146,44190.86,2.2538803925008732E-2,-8.0500340274871518E-2,University of Wisconsin-Madison
West Virginia University,WV,7332.9310700743617,7627.0922301430955,7960.4975923200136,7982.6466078992953,8122.0091540564545,8540.7431532741248,8923.3239567661331,9466.3778991079598,10368.066358499012,10721.868341507179,11002.637989764402,11355.798863889579,11309.868399096582,11172.040698841376,10860.851800552553,10324.545771316936,10195.320744201799,10371.29413081193,10752,3.6707653296326415E-2,-3.7597490929740074E-2,22672.76442674411,23584.165582226789,24616.908278512983,25105.615543378433,25542.673835915291,26460.877145480492,27134.866158493296,27778.922731520255,29115.356157671758,30169.341249225909,31021.764418132294,31992.680855244464,31889.294862486131,31500.676001632924,30681.312198059837,29230.875112142836,28912.103602960327,29364.804284864182,30432,3.6342681013062039E-2,-3.3925494220426455E-2,West Virginia University
University of Wyoming,WY,5519.1099159348332,5415.2354834015978,5592.1595077270686,5798.7149887570349,5904.7035178855967,5999.556520477292,6087.100171251247,6319.0792700079855,6644.4198846198469,6781.6622205103595,6853.0041060889307,6924.2675999326693,7028.9950484808487,7203.3536354444959,7248.4897137166927,7086.0447070633163,7077.9703922744247,7141.2685254330063,7434.54,4.1067140035770056E-2,3.2094268344391441E-2,16141.144756957416,16496.951841315389,17555.418615642382,18069.486966493467,18401.203326647112,18831.707563573884,19521.844418427023,20233.022647576152,21234.701945715158,21753.640535227591,22103.795302503055,22426.933393115258,22860.29190556816,24297.322366188429,24537.92009643438,23754.508947840339,23753.152952753735,23985.383900604444,24054.54,2.8832600587982427E-3,-9.9921449174283916E-3,University of Wyoming
In Current Dollars,STATE,In-State Tuition and Fees,,,,,,,,,,,,,,,,,,,Percentage Change,,Out-of-State Tuition and Fees,,,,,,,,,,,,,,,,,,,Percentage Change,,In Current Dollars
,,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26,1-Year,5-Year,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26,1-Year,5-Year,
University of Alaska Fairbanks,AK,4496,4828,5133,5316,5570,5898,5988,6182,6804,7184,7518,8087,8538,8980,9070,9882,10710,10920,11190,2.4725274725274637E-2,0.24610244988864149,13466,14248,15036,15906,17210,18348,18948,19502,20784,21854,22908,24257,26208,26640,26730,27853.200000000001,28470,27900,29190,4.6236559139784861E-2,9.5720720720720687E-2,University of Alaska Fairbanks
University of Alabama,AL,5700,6400,7000,7900,8600,9200,9450,9826,10170,10470,10780,10780,10780,11620,11620,11900,11900,12180,12484,2.4958949096880234E-2,7.4354561101549033E-2,16518,18000,19200,20500,21900,22950,23950,24950,25950,26950,28100,29230,30250,31090,31090,32300,33200,34172,35342,3.4238557883647491E-2,0.13676423287230621,University of Alabama
University of Arkansas,AR,6038,6400,6459,6768,7174,7553,7818,8210,8522,8820,9062,9130,9380,9380,9570,9656,9748,10104,10496,3.8796516231195621E-2,0.1189765458422174,14492,15278,15445,16000,17606,18434,19075,20302,21826,23168,24308,25168,25872,25870,26390,27410,28772,29966,31550,5.2859907895615121E-2,0.21955933513722448,University of Arkansas
University of Arizona,AZ,5037,5531,6855,8237,9299,10035,10391,10957,11403,11769,11877,12487,12600,12700,12716,13255.36,13600,13900,13906,4.3165467625905229E-4,9.4960629921259754E-2,16271,18665,22572,24597,25509,26231,27073,29421,32600,36017,35307,36386,36600,36600,37238,39557.360000000001,41000,42300,43068,1.8156028368794264E-2,0.17672131147540981,University of Arizona
University of California: Berkeley,CA,7164,7656,9749,10940,12835,12874,12864,12972,13431,13485,13928,14184,14253,14310,14433,15220,15602,16982,17480,2.9325167824755694E-2,0.22152341020265554,26784,28264,32418,33819,35713,35752,35742,35850,38139,40167,41942,43176,44007,44070,44187,46246,48176,51182,55082,7.6198663592669247E-2,0.24987519854776497,University of California: Berkeley
University of Colorado at Boulder,CO,6635,7278,7932,8511,9152,9482,10529,10789,11091,11531,12086,12532,12500,12500,12500,13106,13622,14002,14606,4.3136694757891725E-2,0.16847999999999996,24797,26756,28193,29493,30330,31378,32297,33151,34125,35079,36220,37286,38318,38320,38320,40356,41966,43622,44748,2.5812663335014419E-2,0.16774530271398747,University of Colorado at Boulder
University of Connecticut,CT,8842,9338,9886,10416,10670,11242,12022,12700,13364,14066,14880,15730,17226,17830,18520,19434,20366,21044,21334,1.3780650066527178E-2,0.19652271452607972,22786,24050,25584,26880,27566,29074,30970,32880,34908,35858,36948,38098,39894,40500,41460,42102,43034,43712,44002,6.6343338213763481E-3,8.6469135802469177E-2,University of Connecticut
University of Delaware,DE,8150,8646,9486,10208,11192,11682,12112,12342,12520,12830,13160,13680,14280,14650,15020,15410,16080,16810,17660,5.0565139797739356E-2,0.20546075085324222,19400,21126,23408,25408,27462,28772,29932,30692,31420,32250,33150,34310,35710,36080,36520,37930,39720,41400,43220,4.3961352657004849E-2,0.19789356984478945,University of Delaware
University of Florida,FL,3370,3790,4373,5045,5657,6143,6263,6313,6381,6381,6381,6381,6380,6380,6380,6381,6381,6381.2998046875,6380,-2.0368964431749514E-4,0,17791,20640,23744,27322,27934,28420,28540,28590,28658,28658,28658,28658,28658,28660,28660,28659,28659,28658,30900,7.8232954148928835E-2,7.8157711095603544E-2,University of Florida
University of Georgia,GA,5259,5532,6172,7338,9472,9842,10262,10836,11622,11634,11818,11830,12080,12080,12080,11180,11180,11450,11492,3.6681222707424244E-3,-4.8675496688741715E-2,20726,22343,25946,26946,27682,28052,28472,29046,29832,29844,30392,30404,31120,31120,31120,30220,30220,31688,32336,2.0449381469325845E-2,3.907455012853478E-2,University of Georgia
University of Hawaii at Manoa,HI,5390,6259,7168,8096,9100,9404,9904,10620,11164,11732,11732,11970,12190,12190,12190,12186,12186,12186,12402,1.7725258493352936E-2,1.7391304347825987E-2,14654,16915,19328,21536,23932,25652,27472,29412,31516,33764,33764,34002,34218,34220,34220,34218,34218,34218,34434,6.3124671225671669E-3,6.2536528345995546E-3,University of Hawaii at Manoa
University of Iowa,IA,6293,6544,6824,7417,7765,8057,8061,8079,8104,8325,8964,9267,9610,9610,9940,10353,10964,11283,11622,3.0045200744482914E-2,0.20936524453694072,19465,20658,22445,23713,25099,26279,26931,27409,27890,28413,30608,31233,31569,31570,31910,32316,32927,33371,33710,1.0158520871415222E-2,6.7785872663921554E-2,University of Iowa
University of Idaho,ID,4410,4632,4932,5402,5856,6212,6524,6784,7020,7232,7488,7864,8300,8300,8340,8396,8816,9084,9400,3.4786437692646333E-2,0.1325301204819278,14490,14712,15111,16994,18376,19000,19600,20314,21024,22040,23812,25500,27540,27540,27580,27632,28052,28320,28636,1.1158192090395591E-2,3.9796659404502499E-2,University of Idaho
University of Illinois at Urbana-Champaign,IL,11130,12240,12528,13096,13838,14522,14750,15020,15626,15698,15868,16004,16210,16600,16870,17138,17572,17640,18046,2.3015873015872934E-2,8.7108433734939705E-2,25216,26024,26336,27238,27980,28664,29132,29646,30786,31320,31988,32574,33352,34050,34320,35110,36068,36760,38398,4.4559303590859578E-2,0.12769456681350944,University of Illinois at Urbana-Champaign
Indiana University Bloomington,IN,7837,8231,8613,9028,9524,10033,10209,10388,10388,10388,10533,10681,10947,11220,11330,11446.76,11790,12144,12142,-1.6469038208166698E-4,8.217468805704109E-2,22316,24769,26173,27689,29540,31483,32350,33241,33741,34246,34845,35456,36512,37600,38350,39119.700000000004,40480,41890,42294,9.6443065170686015E-3,0.12484042553191488,Indiana University Bloomington
University of Kansas,KS,7146,7705,8206,8733,9222,9678,10107,10448,10802,11455,10824,11148,11170,11170,11170,11167,11700,12284,12453,1.3757733637251635E-2,0.11486123545210392,17556,18909,20185,21538,22608,23748,24873,25731,26640,28239,26592,27358,28034,28030,28030,28035,29412,30614,31332,2.3453322009538091E-2,0.11780235462004995,University of Kansas
University of Kentucky,KY,7096,7736,8123,8610,9128,9676,9966,10464,10936,11320,11772,12245,12360,12480,12610,12859,13212,13502,13907,2.999555621389427E-2,0.11434294871794881,14896,15884,16723,17678,18740,19864,21052,22734,24268,26156,27856,29099,30680,31290,31610,32276,33406,34140,35164,2.99941417691858E-2,0.12380952380952381,University of Kentucky
Louisiana State University and Agricultural and Mechanical College,LA,4543,5086,5233,5764,6354,7003,7880,8750,9842,10814,11374,11950,11960,11960,11960,11956,11956,11954,12313,3.0031788522670189E-2,2.9515050167224111E-2,12843,13800,14415,16549,19362,22279,25798,26467,27005,27491,28051,28627,28639,28650,28640,28640,28640,28640,28997,1.246508379888267E-2,1.2111692844677169E-2,Louisiana State University and Agricultural and Mechanical College
University of Massachusetts Amherst,MA,9924,10417,11917,11917,12797,13230,13415,13443,14356,15156,15411,15887,16389,16440,16440,16952,17357,17772,18487,4.0231825343236549E-2,0.12451338199513384,20499,21914,23414,23813,25585,26645,26830,27812,30689,32389,33477,34570,35710,36430,36960,38171,39323,40449,41759,3.2386461964449165E-2,0.14628053801811691,University of Massachusetts Amherst
University of Maryland: College Park,MD,7969,8005,8053,8416,8655,8908,9161,9427,9996,10182,10399,10595,10780,10780,10960,11233,11505,11809,12290,4.0731645355237545E-2,0.14007421150278287,22208,23076,24156,24831,26026,27287,28347,29720,31144,32045,33606,35216,36891,36890,38640,39469,40306,41186,42053,2.1050842519302781E-2,0.13995662781241536,University of Maryland: College Park
University of Maine,ME,8330,9100,9626,10142,10588,10594,10600,10606,10610,10628,10902,11170,11438,11740,11990,12136,12606,13326,13760,3.256791235179346E-2,0.17206132879045999,20540,22510,23972,25172,26308,27454,27970,28486,28880,29498,30282,30970,31748,32530,33590,33736,35346,36756,37910,3.1396234628360054E-2,0.1653857977251767,University of Maine
University of Michigan,MI,10447,11037,11848,11837,12634,12994,13142,13486,13856,14402,14826,15262,15558,15950,16180,16736,17228,17736,18346,3.4393324312133489E-2,0.15021943573667706,31301,33069,34937,36001,37782,39122,40392,41906,43476,45410,47476,49350,51200,52270,53230,55334,58072,60946,63962,4.9486430610704568E-2,0.2236847139850775,University of Michigan
University of Minnesota: Twin Cities,MN,9885,10634,11287,12203,13022,13459,13618,13626,13790,14142,14417,14693,15027,15140,15370,15859,16496,17370,18482,6.401842256764545E-2,0.22073976221928659,21515,14634,15529,16503,18022,18709,19868,20876,22210,23806,26603,30371,33325,33440,33960,35099,36410,38518,41368,7.39913806532011E-2,0.23708133971291856,University of Minnesota: Twin Cities
University of Missouri: Columbia,MO,8099,8485,8501,8501,8989,9257,9415,9433,9509,9518,9787,9880.1999999999989,10269,10570,11100,11603.36,14122,14830,15548,4.8415374241402631E-2,0.47095553453169336,18755,19558,19682,20516,21784,22440,22569,24460,25166,25892,26506,26949,28290,29010,30450,31970.36,34322,36040,37820,4.9389567147613667E-2,0.30368838331609793,University of Missouri: Columbia
University of Mississippi,MS,4932,5107,5106,5439,5792,6282,6760,7096,7444,7754,8300,8660,8830,8830,8930,9220,9412,9772,10150,3.8681948424068802E-2,0.14949037372593432,11436,12468,13046,13894,14797,16266,17728,19144,20674,22022,23564,24614,25100,25100,25780,26440,26980,28600,30310,5.9790209790209881E-2,0.20756972111553784,University of Mississippi
University of Montana,MT,5141,5150,5330,5476,5722,5985,6045,6099,6158,6215,7063,7244,7354,7430,7490,7720,8152,8552,9188,7.4368568755846631E-2,0.23660834454912516,15504,16425,17794,19172,20099,21077,21719,22372,23048,23669,24871,24959,26146,27260,28480,29634,31622,33670.80078125,34312,1.904318293217E-2,0.2586940572267058,University of Montana
University of North Carolina at Chapel Hill,NC,5340,5397,5625,6671,7008,7693,8340,8336,8591,8566,9005,8986.08,8990,8990,8998,8998,8998,8993.6201171875,9087,1.038290272390352E-2,1.0789766407119039E-2,20988,22295,23609,25286,26834,28445,30122,33428,33673,33916,34588,36165.08,36165.08,36170,36900,37558,39338,41202.62109375,45220,9.7502993732100141E-2,0.25020735416090689,University of North Carolina at Chapel Hill
University of North Dakota,ND,6130,6513,6726,6934,7092,7254,7508,7741,7965,8137,8447,8695,9736,10280,10600,10951,10951,10975.44,11645.76,6.1074544619623472E-2,0.13285603112840461,14523,15325,15862,16373,16767,17170,17793,18409,18899,19291,20324,20759,13842,14550,15040,15570,15570,15594.24,16541.760000000002,6.0760896330953162E-2,0.13689072164948457,University of North Dakota
University of Nebraska - Lincoln,NE,6216,6585,6857,7224,7563,7897,8075,8070,8279,8538,8901,9154,9366,9560,9590,9620,9950,10317.299999999999,10900.92,5.6567125119944217E-2,0.14026359832635982,16236,17205,17926,18924,19848,20647,21403,22093,22446,23058,24201,24949,25806,26690,26720,26750,27680,28647.3,30130.92,5.1789173848844294E-2,0.12892169351817162,University of Nebraska - Lincoln
University of New Hampshire,NH,11070,11756,12743,13672,15250,16422,16496,16552,16986,17624,18067,18499,18879,18940,18960,19024,19112,19202,19682,2.4997396104572411E-2,3.917634635691658E-2,24030,25236,26992,27642,28570,28882,29216,29532,30256,31424,32637,33879,35409,36280,37200,37934,38882,39852,40844,2.4892100772859527E-2,0.12579933847850056,University of New Hampshire
"Rutgers, The State University of New Jersey: New Brunswick/Piscataway Campus",NJ,10686,11540,11886,12582,12754,13073,13499,13813,14131,14372,14638,14974,15407,15030,15800,16263,17239,17929,18824,4.9919125439232603E-2,0.2524284763805722,19854,21488,22834,24044,25416,26393,27523,28591,29521,30023,30579,31282,32189,31810,33010,33963,36001,37441,39649,5.8972783846585219E-2,0.24643193964162213,"Rutgers, The State University of New Jersey: New Brunswick/Piscataway Campus"
University of New Mexico,NM,4571,4834,5101,5506,5809,6049,6447,6447,6664,6950,7146,7322,7556,8860,8510,10096,10296,10297.7998046875,10383,8.2736309627728932E-3,0.17189616252821671,14942,15708,17234,18691,19999,20688,20688,20652,21304,21936,22037,22586,23292,24500,25240,26412,33217.199999999997,33217.19921875,33531.599999999999,9.464999718354683E-3,0.36863673469387748,University of New Mexico
University of Nevada: Reno,NV,4029,4561,4901,5561,6176,6603,6603,6639,6882,7143,7538,7764,8034,8370,8590,8797,9012,9578,10309,7.6320735017749053E-2,0.23166069295101543,14839,15656,17698,18851,19771,20513,20513,20549,20792,21053,21726,22236,23085,24020,24680,25339,25968,27720,28941,4.4047619047619113E-2,0.20487094088259794,University of Nevada: Reno
State University of New York at Buffalo,NY,6218,6285,7013,7136,7482,7989,8426,8871,9461,9574,9828,10099,10524,10530,10780,10782,10782,10936,11035.54,9.1020482809072156E-3,4.8009496676163499E-2,12478,12545,15036,15546,16932,18609,20366,22291,24541,26814,27338,27769,28194,28200,28700,28702,30572,31536,32465.54,2.947552004058851E-2,0.15126028368794331,State University of New York at Buffalo
Ohio State University: Columbus Campus,OH,8676,8679,8726,9420,9735,10037,10037,10037,10037,10037,10591,10726,11084,11520,11940,12485,12859,13244,13641,2.9975838115372966E-2,0.1841145833333333,21918,22298,22404,23604,24630,25445,25757,26537,27365,29229,29695,30742,32061,33500,35020,36722,38365,40022,42423,5.9992004397581233E-2,0.26635820895522389,Ohio State University: Columbus Campus
University of Oklahoma,OK,6507,7423,7483,7864,8325,8706,8915,9495,10090,10881,11538,11763,11760,11690,12010,12124.5,12492.9,13509.5,13803,2.1725452459380401E-2,0.18075278015397767,15621,17404,17704,18295,19278,20343,21104,22269,23476,25203,26919,27144,27144,27070,27820,28692,29562.9,31089.5,31863,2.4879782563244746E-2,0.17705947543405975,University of Oklahoma
University of Oregon,OR,6168,6435,7428,8190,8789,9310,9763,9918,10289,10762,11571,11898,12720,13860,14420,15054,15666.9,16137,16755,3.8297081241866593E-2,0.20887445887445888,19332,19992,23730,25830,27653,28660,29788,30888,32024,33442,34611,35478,36615,39310,40460,41700,43300.05,44598,46077,3.3162922104130299E-2,0.1721444924955482,University of Oregon
Penn State University Park,PA,13639,13706,14416,15250,15984,16444,16992,17502,17514,17900,18436,18454,18450,18450,18900,19286,19672,20066,21084,5.0732582477823085E-2,0.14276422764227648,23712,24940,25972,27114,28066,28746,29566,30452,31346,32382,33664,34858,35514,35510,36480,38102,39626,41212,43476,5.4935455692516788E-2,0.22433117431709371,Penn State University Park
University of Rhode Island,RI,8184,8678,9528,10476,11366,12450,12450,12506,12862,12884,13792,14138,14566,15000,15330,15880,16408,16942,17476,3.1519301145083167E-2,0.16506666666666669,23038,24776,26198,27182,27454,28016,28016,28072,28852,28874,30042,30862,31686,32580,33350,34362,35804,37146,38398,3.3704840359661814E-2,0.17857581338244333,University of Rhode Island
University of South Carolina,SC,8346,8838,9156,9786,10168,10488,10816,11158,11482,11854,12262,12616,12690,12690,12690,12688,12688,12688,12688,0,-1.5760441292356209E-4,21632,22908,23732,25362,26352,27644,28528,29440,30298,31282,32362,33298,33928,33930,33930,33928,34934,35972,37376,3.9030356944290023E-2,0.10156203949307407,University of South Carolina
University of South Dakota,SD,5393,5828,6468,6762,7209,7704,8022,8022,8457,8457,8772,9061,9330,9330,9430,9432,9432,9432,9687,2.7035623409669141E-2,3.8263665594855389E-2,6631,7148,7892,8259,8924,9650,10104,10104,11337,11688,12020,12425,12807,12810,12940,12942,12942,12942,13299,2.7584608252202214E-2,3.8173302107728402E-2,University of South Dakota
University of Tennessee: Knoxville,TN,5932,6250,6855,7382,8396,9092,11194,11876,12436,12724,12970,13006,13260,13260,13244,13244,13484,13812,13812,0,4.1628959276018174E-2,17874,18908,20646,22420,25238,27282,29384,30066,30626,30914,31160,31196,31454,31680,31664,31664,31974,33256,33256,0,4.9747474747474651E-2,University of Tennessee: Knoxville
